Team,Slot,Unit,Notes
Defense,Unit 1,Defense Unit 1,Notes
Defense,Unit 2,Defense Unit 2,Notes
Defense,Unit 3,Defense Unit 3,Notes
Attack,Unit 1,ATK Unit 1,Notes
Attack,Unit 2,ATK Unit 2,Notes
Attack,Unit 3,ATK Unit 3,Notes
Defense,Unit 1,Boss Arunka,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact has to be Tachi for immunity to avoid random Yufine Counter ATK Break

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes"
Defense,Unit 2,Abyssal Yufine,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact has to be Tachi for immunity to avoid random Yufine Counter ATK Break

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes"
Defense,Unit 3,Urban Shadow Choux,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact has to be Tachi for immunity to avoid random Yufine Counter ATK Break

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes"
Attack,Unit 1,New Moon Luna,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact has to be Tachi for immunity to avoid random Yufine Counter ATK Break

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes"
Attack,Unit 2,Briar Witch Iseria,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact has to be Tachi for immunity to avoid random Yufine Counter ATK Break

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes"
Attack,Unit 3,Straze,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact has to be Tachi for immunity to avoid random Yufine Counter ATK Break

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes"
